午后のあくび: Vocabulary for 午后のあくび
Word;Kana;Translation;Level
リンゴ;リンゴ;apple (fruit);Week 2
木;き;"tree; shrub; bush";Week 2
目印;めじるし;"mark (for quick identification or recognition); sign";Week 2
だって;だって;"after all; because";Week 2
裏;うら;"opposite side; bottom; other side; side hidden from view; undersurface; reverse side";Week 2
描く;えがく;"to draw; to paint; to sketch";Week 2
地図;ちず;map;Week 2
たより;たより;"reliance; dependence";Week 2
たぶん;たぶん;"perhaps; probably";Week 2
あの;あの;"that; those; the";Week 2
まわり;まわり;"circumference; girth";Week 2
見回す;みまわす;"to look around; to survey";Week 2
この辺り;このあたり;"this area; around here";Week 2
思う;おもう;"to think; to consider; to believe; to reckon";Week 2
だけど;だけど;however;Week 2
らしい;らしい;"seeming ...; appearing ...";Week 2
店;みせ;"store; shop; establishment; restaurant";Week 2
満開;まんかい;"full bloom (esp. of cherry blossom); full blossom";Week 2
どこか;どこか;somewhere;Week 2
らか;らか;being ...;Week 2
花;はな;"flower; blossom; bloom; petal";Week 2
ううん;ううん;"um; er; well";Week 2
小さな;ちいさな;"small; little; tiny";Week 2
扉;とびら;"door; gate; opening";Week 2
向く;むく;"to turn toward; to look (up, down, etc.)";Week 2
開店;かいてん;opening a new shop;Week 2
祝い;いわい;"congratulation; congratulations; celebration; festival";Week 2
音楽;おんがく;music;Week 2
かすか;かすか;"faint; dim; weak; slight; vague; indistinct; hazy";Week 2
聞こえる;きこえる;"to be heard; to be audible; to reach one's ears";Week 2
りんご;りんご;apple (fruit);Week 2
根元;こんげん;"root; source; origin; cause";Week 2
まあ;まあ;"just (e.g. ""just wait here""); come now; now, now";Week 2
なんと;なんと;"what; how";Week 2
大きな;おおきな;"big; large; great";Week 2
お客さま;おきゃくさま;"guest; visitor";Week 2
ノック;ノック;"knock; knocking";Week 2
そういう;そういう;"such; like that; that sort of";Week 2
店主;てんしゅ;"shopkeeper; storekeeper; proprietor of a shop";Week 2
現れる;あらわれる;"to appear; to come in sight; to become visible; to come out; to embody; to materialize; to materialise";Week 2
焼きたて;やきたて;"fresh made; freshly baked; freshly roasted";Week 2
昼;ひる;"noon; midday";Week 2
後にする;あとにする;to leave behind;Week 2
特製;とくせい;"special make; deluxe";Week 2
食べる;たべる;to eat;Week 2
もったいない;もったいない;"wasteful; a waste";Week 2
テーブル;テーブル;table;Week 2
置く;おく;"to put; to place";Week 2
ぴったり;ぴったり;"tightly; closely";Week 2
なぁ;なぁ;"hey; listen; look; say";Week 2
凄い;すごい;"terrible; dreadful";Week 2
小さい;ちいさい;"small; little; tiny";Week 2
止める;やめる;"to stop (an activity); to cease; to discontinue; to end; to quit";Week 2
バン;バン;bun (hairstyle);Week 2
皆さん;みなさん;"all; everyone; everybody";Week 2
きっと;きっと;"surely; undoubtedly; almost certainly; most likely (e.g. 90 percent)";Week 2
あたし;あたし;"I; me";Week 2
ドールハウス;ドールハウス;dollhouse;Week 2
さん;さん;"Mr.; Mrs.; Miss; Ms.; -san";Week 2
来週;らいしゅう;next week;Week 2
出張;しゅっちょう;"business trip; official trip";Week 2
だっけ;だっけ;"was it?; I think it was ...; if I've got it right; if I'm not mistaken; remind me; tell me again";Week 2
そう;そう;"in that way; thus; such";Week 2
一週間;いっしゅうかん;one week;Week 2
地底;ちてい;depths of the earth;Week 2
探検;たんけん;"exploration; expedition";Week 2
行く;いく;"to go; to move (in a direction or towards a specific location); to head (towards); to be transported (towards); to reach";Week 2
それで;それで;"and; thereupon; because of that";Week 2
お願い;おねがい;"request; favour (to ask); wish";Week 2
間;あいだ;"space (between); gap; interval; distance; stretch";Week 2
うち;うち;"inside; within";Week 2
タマ;タマ;"ball; sphere; globe; orb";Week 2
預かる;あずかる;"to look after; to take care of; to keep; to hold on to; to keep in custody";Week 2
貰う;もらう;"to receive; to take; to accept";Week 2
そんなわけで;そんなわけで;"therefore; for that reason; such being the case";Week 2
ペット;ペット;pet;Week 2
事になる;ことになる;"to have been decided (so) that; to have been arranged (so) that";Week 2
だよね;だよね;"it is, isn't it?; I know, right?; innit?";Week 2
もの;もの;indicates reason or excuse;Week 2
てっきり;てっきり;"surely; certainly; without doubt";Week 2
猫;ねこ;cat (esp. the domestic cat, Felis catus);Week 2
ひなたぼっこ;ひなたぼっこ;basking in the sun;Week 2
好く;すく;"to like; to love; to be fond of";Week 2
ずっと;ずっと;"continuously in some state (for a long time, distance); throughout; all along; the whole time; all the way";Week 2
じっと;じっと;"motionlessly (e.g. stand, wait); (be) still";Week 2
ガラ;ガラ;gala;Week 2
目;め;"eye; eyeball";Week 2
はーい;はーい;"understood; I see; OK; okay";Week 2
ごはん;ごはん;"misjudgement; misjudgment; erroneous judgement; miscarriage of justice";Week 2
姿;すがた;"figure; form; shape";Week 2
人;ひと;"person; someone; somebody";Week 2
嫌らしい;いやらしい;"unpleasant; disagreeable; nasty";Week 2
カラ;カラ;"from (e.g. time, place, numerical quantity); since";Week 2
ごめん;ごめん;"I'm sorry; my apologies; excuse me; pardon me";Week 2
くだ;くだ;"pipe; tube";Week 2
温泉;おんせん;hot spring;Week 2
タマゴ;タマゴ;"eggs; egg; spawn; roe";Week 2
見える;みえる;"to be seen; to be in sight";Week 2
打付ける;ぶつける;"to hit (e.g. one's head); to strike; to crash into";Week 2
かな;かな;I wonder;Week 2
元気;げんき;"lively; full of spirit; energetic; vigorous; vital; spirited";Week 2
身体;からだ;body;Week 2
ヒビ;ヒビ;"crack; fissure";Week 2
日に日に;ひにひに;"day by day; by the day";Week 2
増える;ふえる;"to increase; to multiply";Week 2
大変;たいへん;"very; greatly; terribly; awfully";Week 2
なの;なの;"that's the way it is; yes";Week 2
ああ;ああ;"like that; so";Week 2
脱皮;だっぴ;"ecdysis; shedding (of skin); sloughing; molting; moulting; casting off";Week 2
時期;じき;"time; season; period; phase; stage";Week 2
ゆでたまご;ゆでたまご;boiled egg;Week 2
大量;たいりょう;"large quantity; massive (quantity); mass (e.g. mass production, mass transit, mass destruction)";Week 2
呉れる;くれる;"to give; to let (one) have";Week 2
繚乱;りょうらん;profusely (esp. flowers blooming in great profusion);Week 2
寺;てら;temple (Buddhist);Week 2
百;ひゃく;"hundred; 100";Week 2
花園;はなぞの;flower garden;Week 2
薄桃色;うすももいろ;"pale pink; peach-colored";Week 2
煙い;けむい;smoky;Week 2
立ち上る;たちのぼる;"to rise up (e.g. pillar of smoke); to go up";Week 2
花供養;はなくよう;commemoration of the Buddha's birthday;Week 2
行なう;おこなう;"to perform; to do; to conduct oneself; to carry out";Week 2
なのだ;なのだ;"it is assuredly that ...; can say with confidence that ...";Week 2
今日;きょう;"today; this day";Week 2
造花;ぞうか;"artificial flower; imitation flower";Week 2
花柄;かへい;peduncle;Week 2
模様;もよう;"pattern; figure; design";Week 2
古着;ふるぎ;"old clothes; secondhand clothing";Week 2
花輪;はなわ;"wreath; garland";Week 2
などなど;などなど;"et cetera; etc.; and the like; and so forth";Week 2
まつわる;まつわる;"to coil around; to follow about";Week 2
品物;しなもの;"goods; article; thing";Week 2
人たち;ひとたち;people;Week 2
紅;くれない;"deep red; crimson";Week 2
炎;ほのお;"flame; blaze";Week 2
ゆっくり;ゆっくり;"slowly; unhurriedly; without haste; leisurely; at one's leisure";Week 2
首;くび;neck;Week 2
かざり;かざり;"decoration; ornament; trimmings";Week 2
商店街;しょうてんがい;"shopping district; shopping street; downtown";Week 2
福引き;ふくびき;"lottery; tombola; drawing";Week 2
おめでとう;おめでとう;"congratulations!; well done!; best wishes!; all the best!";Week 2
ございます;ございます;"to be; to exist";Week 2
1年;いちねん;counter for years (e.g. of an era), grades (e.g. school);Week 2
豪華;ごうか;"extravagant; lavish; opulent; luxurious; magnificent; splendid; fancy; gorgeous";Week 2
南;みなみ;south;Week 2
島;しま;island;Week 2
早;はや;"already; now; by this time";Week 2
真;しん;"truth; reality; genuineness";Week 2
集;しゅう;"collection; compilation";Week 2
わた;わた;cotton plant (Gossypium spp.);Week 2
テープ;テープ;tape;Week 2
ふわっと;ふわっと;"floatingly; driftingly; with a sense of weightlessness";Week 2
マカダミア;マカダミア;macadamia;Week 2
チョコレート;チョコレート;chocolate;Week 2
なんで;なんで;"why?; what for?";Week 2
賞;しょう;"prize; award";Week 2
しっかり;しっかり;"tightly (holding on); firmly; securely";Week 2
味わう;あじわう;"to taste; to savor; to savour; to relish";Week 2
気分;きぶん;"feeling; mood";Week 2
一人;ひとり;one person;Week 2
供養;くよう;"memorial service for the dead; holding a service";Week 2
投げ入れる;なげいれる;"to throw into; to dump in together";Week 2
終える;おえる;to finish;Week 2
紙包み;かみづつみ;paper package;Week 2
手渡す;てわたす;"to hand over; to surrender";Week 2
粉末状;ふんまつじょう;"powdered; in powder form";Week 2
灰;はい;"ash; ashes";Week 2
包み;つつみ;"bundle; package; parcel";Week 2
中には;なか に‌は;"among (them); of (them)";Week 2
水;みず;water (esp. cool, fresh water, e.g. drinking water);Week 2
溶かす;とかす;to dissolve;Week 2
ものを;ものを;"although; but; even though; I wish that";Week 2
霧吹き;きりふき;spraying;Week 2
カーテン;カーテン;"curtain; curtains";Week 2
吹きかける;ふきかける;"to blow upon; to breathe on; to spray";Week 2
しばらく;しばらく;"for a moment; for a minute";Week 2
待つ;まつ;to wait;Week 2
じょじょに;じょじょに;"gradually; steadily; slowly; little by little; step by step; by degrees";Week 2
浮き上がる;うきあがる;"to float; to rise to the surface";Week 2
わあ;わあ;"wow!; oh!; eek!; gee!";Week 3
いい天気;いいてんき;"fine weather; fair weather";Week 3
雲ひとつない;くもひとつない;"cloudless (sky); without a cloud (in the sky)";Week 3
青空;あおぞら;blue sky;Week 3
双眼鏡;そうがんきょう;"binoculars; field glasses";Week 3
雲;くも;cloud;Week 3
町;まち;"town; block; neighbourhood; neighborhood";Week 3
異常;いじょう;"strangeness; abnormality; disorder";Week 3
デパート;デパート;department store;Week 3
給水塔;きゅうすいとう;water tower;Week 3
上;うえ;"above; up; over; elder (e.g. daughter)";Week 3
立つ;たつ;"to stand; to rise; to stand up";Week 3
さっき;さっき;"a short while ago; a moment ago; just now; some time ago";Week 3
少し;すこし;"small quantity; little; few; something";Week 3
おいで;おいで;"coming; going; being (somewhere)";Week 3
ような;ような;"like; similar to";Week 3
呼ぶ;よぶ;"to call out (to); to call; to invoke";Week 3
もっと;もっと;"(some) more; even more; longer; further";Week 3
浮かぶ;うかぶ;"to float; to be suspended";Week 3
指;ゆび;"finger; toe; digit";Week 3
弾く;ひく;to play (a stringed or keyboard instrument);Week 3
こう;こう;"in this way; thus; such";Week 3
遣る;やる;"to do; to undertake; to perform; to play (a game); to study";Week 3
どう;どう;"how; in what way; how about";Week 3
見せる;みせる;"to show; to display";Week 3
輪郭;りんかく;"contour; outline; border; silhouette";Week 3
広がる;ひろがる;"to spread (out); to extend; to stretch; to reach to; to get around; to fill (e.g. a space)";Week 3
言う;いう;"to say; to utter; to declare";Week 3
かと思うと;かとおもうと;"no sooner than; as soon as; immediately after";Week 3
滲む;にじむ;"to run (of liquid); to spread; to bleed; to blot";Week 3
